cluster_id,prompt_id,model,generated_label,nonllm_metrics
0,P1,claude-haiku-4-5,Customer Service Hours Availability and Contact Information Inquiries,"{""cosine_sim_same"": 1.0, ""cosine_sim_multi"": 1.0, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
0,P2,claude-haiku-4-5,Customer service hours inquiry and availability information requests,"{""cosine_sim_same"": 0.9999999403953552, ""cosine_sim_multi"": 0.9999999403953552, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
0,P3,claude-haiku-4-5,Customer Service Hours and Contact Availability Information,"{""cosine_sim_same"": 1.0, ""cosine_sim_multi"": 1.0, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
0,P4,claude-haiku-4-5,Customer service hours and availability inquiry,"{""cosine_sim_same"": 1.0000001192092896, ""cosine_sim_multi"": 1.0000001192092896, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
0,P5,claude-haiku-4-5,Customer Service Hours and Availability Information Request,"{""cosine_sim_same"": 1.0, ""cosine_sim_multi"": 1.0, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
3,P1,claude-haiku-4-5,Difficulty finding customer service contact information and communication channels,"{""cosine_sim_same"": 1.0000001192092896, ""cosine_sim_multi"": 1.0000001192092896, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
3,P2,claude-haiku-4-5,Customers unable to find contact information or communication channels for customer service,"{""cosine_sim_same"": 1.0, ""cosine_sim_multi"": 1.0, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
3,P3,claude-haiku-4-5,Customer Service Contact Information and Support Channel Access,"{""cosine_sim_same"": 1.0, ""cosine_sim_multi"": 1.0, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
3,P4,claude-haiku-4-5,Customers unable to find contact information or methods to reach support services,"{""cosine_sim_same"": 1.0000001192092896, ""cosine_sim_multi"": 1.0000001192092896, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
3,P5,claude-haiku-4-5,Customer service contact information and communication channel requests,"{""cosine_sim_same"": 1.0, ""cosine_sim_multi"": 1.0, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
7,P1,claude-haiku-4-5,Confusion about how to contact or reach a live assistant,"{""cosine_sim_same"": 0.9999999403953552, ""cosine_sim_multi"": 0.9999999403953552, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
7,P2,claude-haiku-4-5,Unable to locate or contact customer support assistant,"{""cosine_sim_same"": 1.0000001192092896, ""cosine_sim_multi"": 1.0000001192092896, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
7,P3,claude-haiku-4-5,How to Contact or Reach an IT Support Assistant,"{""cosine_sim_same"": 1.0, ""cosine_sim_multi"": 1.0, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
7,P4,claude-haiku-4-5,Unable to locate or access assistant contact methods or communication channels,"{""cosine_sim_same"": 1.0, ""cosine_sim_multi"": 1.0, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
7,P5,claude-haiku-4-5,How to connect with or reach a live assistant,"{""cosine_sim_same"": 0.9999999403953552, ""cosine_sim_multi"": 0.9999999403953552, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
