cluster_id,prompt_id,model,generated_label,nonllm_metrics
0,P1,meta-llama/Llama-3.2-3B-Instruct,Customer Service Hours and Availability Inquiry,"{""cosine_sim_same"": 0.9289717078208923, ""cosine_sim_multi"": 1.0000001192092896, ""rouge_l_same"": 0.7142857142857143, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
0,P2,meta-llama/Llama-3.2-3B-Instruct,Customer Service Hours and Availability Inquiry,"{""cosine_sim_same"": 0.9237235188484192, ""cosine_sim_multi"": 1.0000001192092896, ""rouge_l_same"": 0.7142857142857143, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
0,P3,meta-llama/Llama-3.2-3B-Instruct,Customer Service Hours and Availability Information Request,"{""cosine_sim_same"": 0.9553191065788269, ""cosine_sim_multi"": 1.0, ""rouge_l_same"": 0.8571428571428571, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
0,P4,meta-llama/Llama-3.2-3B-Instruct,Customer Service Hours and Availability Inquiry,"{""cosine_sim_same"": 1.0000001192092896, ""cosine_sim_multi"": 1.0000001192092896, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
0,P5,meta-llama/Llama-3.2-3B-Instruct,Customer Service Hours and Availability Inquiry,"{""cosine_sim_same"": 0.9090809226036072, ""cosine_sim_multi"": 1.0000001192092896, ""rouge_l_same"": 0.7692307692307692, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
3,P1,meta-llama/Llama-3.2-3B-Instruct,Customer Service Contact Information and Support Channel Inquiries,"{""cosine_sim_same"": 0.7992697954177856, ""cosine_sim_multi"": 0.9320314526557922, ""rouge_l_same"": 0.7058823529411765, ""rouge_l_multi"": 0.875, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
3,P2,meta-llama/Llama-3.2-3B-Instruct,Difficulty finding customer service contact information and communication channels,"{""cosine_sim_same"": 0.8306580185890198, ""cosine_sim_multi"": 1.0000001192092896, ""rouge_l_same"": 0.4761904761904762, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
3,P3,meta-llama/Llama-3.2-3B-Instruct,Customer Service Contact Information and Support Channel Inquiries,"{""cosine_sim_same"": 0.9122198820114136, ""cosine_sim_multi"": 0.9320314526557922, ""rouge_l_same"": 0.875, ""rouge_l_multi"": 0.875, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
3,P4,meta-llama/Llama-3.2-3B-Instruct,Customer service contact information and communication channel requests,"{""cosine_sim_same"": 0.668333888053894, ""cosine_sim_multi"": 1.0, ""rouge_l_same"": 0.3, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
3,P5,meta-llama/Llama-3.2-3B-Instruct,Customer Service Contact Information and Support Channel Inquiries,"{""cosine_sim_same"": 0.9320314526557922, ""cosine_sim_multi"": 0.9320314526557922, ""rouge_l_same"": 0.75, ""rouge_l_multi"": 0.875, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
7,P1,meta-llama/Llama-3.2-3B-Instruct,Difficulty finding or contacting live assistant support,"{""cosine_sim_same"": 0.7687078714370728, ""cosine_sim_multi"": 0.7687078714370728, ""rouge_l_same"": 0.3529411764705882, ""rouge_l_multi"": 0.39999999999999997, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
7,P2,meta-llama/Llama-3.2-3B-Instruct,Difficulty finding or accessing assistant contact information and communication channels,"{""cosine_sim_same"": 0.6540563106536865, ""cosine_sim_multi"": 0.8293907046318054, ""rouge_l_same"": 0.22222222222222224, ""rouge_l_multi"": 0.5714285714285713, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
7,P3,meta-llama/Llama-3.2-3B-Instruct,Unable to Connect with Live Assistant or Representative,"{""cosine_sim_same"": 0.451553612947464, ""cosine_sim_multi"": 0.6968657970428467, ""rouge_l_same"": 0.23529411764705882, ""rouge_l_multi"": 0.5882352941176471, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
7,P4,meta-llama/Llama-3.2-3B-Instruct,Difficulty locating or accessing assistant contact information and communication channels,"{""cosine_sim_same"": 0.8192979097366333, ""cosine_sim_multi"": 0.8192979097366333, ""rouge_l_same"": 0.6666666666666666, ""rouge_l_multi"": 0.6666666666666666, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
7,P5,meta-llama/Llama-3.2-3B-Instruct,Requests to connect with or locate an available assistant,"{""cosine_sim_same"": 0.676624059677124, ""cosine_sim_multi"": 0.7045672535896301, ""rouge_l_same"": 0.5555555555555556, ""rouge_l_multi"": 0.5555555555555556, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
8,P1,meta-llama/Llama-3.2-3B-Instruct,Difficulty locating or contacting live support agents or representatives,"{""cosine_sim_same"": 0.6257864832878113, ""cosine_sim_multi"": 0.815275251865387, ""rouge_l_same"": 0.23529411764705882, ""rouge_l_multi"": 0.47058823529411764, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
8,P2,meta-llama/Llama-3.2-3B-Instruct,Difficulty locating or contacting live support agents or representatives,"{""cosine_sim_same"": 0.7140923142433167, ""cosine_sim_multi"": 0.815275251865387, ""rouge_l_same"": 0.39999999999999997, ""rouge_l_multi"": 0.47058823529411764, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
