cluster_id,prompt_id,model,generated_label,reference_label,llm_metrics
20,P1,teacher,Order Delivery Status and Arrival Time Tracking Inquiries,Order Delivery Status and Arrival Time Tracking Inquiries,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""Skipped: teacher label compared to itself (trivially perfect). No API call made.""}"
0,P4,teacher,Customer service hours and availability inquiry,Customer service hours and availability inquiry,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""Skipped: teacher label compared to itself (trivially perfect). No API call made.""}"
0,P1,teacher,Customer Service Hours Availability and Contact Information Inquiries,Customer Service Hours Availability and Contact Information Inquiries,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""Skipped: teacher label compared to itself (trivially perfect). No API call made.""}"
3,P4,teacher,Customers unable to find contact information or methods to reach support services,Customers unable to find contact information or methods to reach support services,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""Skipped: teacher label compared to itself (trivially perfect). No API call made.""}"
3,P3,teacher,Customer Service Contact Information and Support Channel Access,Customer Service Contact Information and Support Channel Access,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""Skipped: teacher label compared to itself (trivially perfect). No API call made.""}"
20,P5,teacher,Order delivery status and estimated arrival time inquiry,Order delivery status and estimated arrival time inquiry,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""Skipped: teacher label compared to itself (trivially perfect). No API call made.""}"
0,P5,teacher,Customer Service Hours and Availability Information Request,Customer Service Hours and Availability Information Request,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""Skipped: teacher label compared to itself (trivially perfect). No API call made.""}"
20,P4,teacher,Order delivery status tracking and estimated arrival time inquiries,Order delivery status tracking and estimated arrival time inquiries,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""Skipped: teacher label compared to itself (trivially perfect). No API call made.""}"
0,P3,teacher,Customer Service Hours and Contact Availability Information,Customer Service Hours and Contact Availability Information,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""Skipped: teacher label compared to itself (trivially perfect). No API call made.""}"
7,P4,teacher,Unable to locate or access assistant contact methods or communication channels,Unable to locate or access assistant contact methods or communication channels,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""Skipped: teacher label compared to itself (trivially perfect). No API call made.""}"
20,P3,teacher,Order and Shipment Status Tracking Inquiry,Order and Shipment Status Tracking Inquiry,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""Skipped: teacher label compared to itself (trivially perfect). No API call made.""}"
7,P5,teacher,How to connect with or reach a live assistant,How to connect with or reach a live assistant,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""Skipped: teacher label compared to itself (trivially perfect). No API call made.""}"
0,P2,teacher,Customer service hours inquiry and availability information requests,Customer service hours inquiry and availability information requests,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""Skipped: teacher label compared to itself (trivially perfect). No API call made.""}"
8,P3,teacher,Unable to Connect with Support Agent or Representative,Unable to Connect with Support Agent or Representative,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""Skipped: teacher label compared to itself (trivially perfect). No API call made.""}"
7,P2,teacher,Unable to locate or contact customer support assistant,Unable to locate or contact customer support assistant,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""Skipped: teacher label compared to itself (trivially perfect). No API call made.""}"
20,P2,teacher,Order delivery status and arrival date tracking,Order delivery status and arrival date tracking,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""Skipped: teacher label compared to itself (trivially perfect). No API call made.""}"
8,P1,teacher,Customer requests to connect with human support representative,Customer requests to connect with human support representative,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""Skipped: teacher label compared to itself (trivially perfect). No API call made.""}"
7,P1,teacher,Confusion about how to contact or reach a live assistant,Confusion about how to contact or reach a live assistant,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""Skipped: teacher label compared to itself (trivially perfect). No API call made.""}"
