cluster_id,prompt_id,model,fine_tuned,generated_label,cosine_sim_same_prompt,cosine_sim_multi_ref,rougeL_same_prompt,rougeL_multi_ref,bertscore_f1_same_prompt,bertscore_f1_multi_ref
0,P1,meta-llama/Llama-3.2-3B-Instruct,True,Customer Service Hours and Availability Inquiry,0.9289717078208923,1.0000001192092896,0.7142857142857143,1.0,,
0,P2,meta-llama/Llama-3.2-3B-Instruct,True,Customer Service Hours and Availability Inquiry,0.9237235188484192,1.0000001192092896,0.7142857142857143,1.0,,
0,P3,meta-llama/Llama-3.2-3B-Instruct,True,Customer Service Hours and Availability Information Request,0.9553191065788269,1.0,0.8571428571428571,1.0,,
0,P4,meta-llama/Llama-3.2-3B-Instruct,True,Customer Service Hours and Availability Inquiry,1.0000001192092896,1.0000001192092896,1.0,1.0,,
0,P5,meta-llama/Llama-3.2-3B-Instruct,True,Customer Service Hours and Availability Inquiry,0.9090809226036072,1.0000001192092896,0.7692307692307692,1.0,,
3,P1,meta-llama/Llama-3.2-3B-Instruct,True,Customer Service Contact Information and Support Channel Inquiries,0.7992697954177856,0.9320314526557922,0.7058823529411765,0.875,,
3,P2,meta-llama/Llama-3.2-3B-Instruct,True,Difficulty finding customer service contact information and communication channels,0.8306580185890198,1.0000001192092896,0.4761904761904762,1.0,,
3,P3,meta-llama/Llama-3.2-3B-Instruct,True,Customer Service Contact Information and Support Channel Inquiries,0.9122198820114136,0.9320314526557922,0.875,0.875,,
3,P4,meta-llama/Llama-3.2-3B-Instruct,True,Customer service contact information and communication channel requests,0.668333888053894,1.0,0.3,1.0,,
3,P5,meta-llama/Llama-3.2-3B-Instruct,True,Customer Service Contact Information and Support Channel Inquiries,0.9320314526557922,0.9320314526557922,0.75,0.875,,
7,P1,meta-llama/Llama-3.2-3B-Instruct,True,Difficulty finding or contacting live assistant support,0.7687078714370728,0.7687078714370728,0.3529411764705882,0.39999999999999997,,
7,P2,meta-llama/Llama-3.2-3B-Instruct,True,Difficulty finding or accessing assistant contact information and communication channels,0.6540563106536865,0.8293907046318054,0.22222222222222224,0.5714285714285713,,
7,P3,meta-llama/Llama-3.2-3B-Instruct,True,Unable to Connect with Live Assistant or Representative,0.451553612947464,0.6968657970428467,0.23529411764705882,0.5882352941176471,,
7,P4,meta-llama/Llama-3.2-3B-Instruct,True,Difficulty locating or accessing assistant contact information and communication channels,0.8192979097366333,0.8192979097366333,0.6666666666666666,0.6666666666666666,,
7,P5,meta-llama/Llama-3.2-3B-Instruct,True,Requests to connect with or locate an available assistant,0.676624059677124,0.7045672535896301,0.5555555555555556,0.5555555555555556,,
8,P1,meta-llama/Llama-3.2-3B-Instruct,True,Difficulty locating or contacting live support agents or representatives,0.6257864832878113,0.815275251865387,0.23529411764705882,0.47058823529411764,,
8,P2,meta-llama/Llama-3.2-3B-Instruct,True,Difficulty locating or contacting live support agents or representatives,0.7140923142433167,0.815275251865387,0.39999999999999997,0.47058823529411764,,
8,P3,meta-llama/Llama-3.2-3B-Instruct,True,Unable to Connect with Live Agent or Representative,0.8097285032272339,0.8211714625358582,0.875,0.875,,
8,P4,meta-llama/Llama-3.2-3B-Instruct,True,Difficulty locating or contacting live support agents or representatives,0.6069221496582031,0.815275251865387,0.39999999999999997,0.47058823529411764,,
8,P5,meta-llama/Llama-3.2-3B-Instruct,True,Requests to connect with a live support representative or agent,1.0,1.0,1.0,1.0,,
20,P1,meta-llama/Llama-3.2-3B-Instruct,True,Order delivery timeline and arrival date inquiries,0.8184888362884521,0.8368047475814819,0.6666666666666666,0.7142857142857143,,
20,P2,meta-llama/Llama-3.2-3B-Instruct,True,Order delivery timeline and arrival date inquiries,0.7191247344017029,0.8368047475814819,0.7142857142857143,0.7142857142857143,,
20,P3,meta-llama/Llama-3.2-3B-Instruct,True,Order Delivery Status and Arrival Time Inquiries,0.74219810962677,0.959307074546814,0.4615384615384615,0.9333333333333333,,
20,P4,meta-llama/Llama-3.2-3B-Instruct,True,Customer inquiries about tracking and delivery status of orders,0.7755514979362488,0.8178572654724121,0.2222222222222222,0.26666666666666666,,
20,P5,meta-llama/Llama-3.2-3B-Instruct,True,Order delivery timeline and arrival date inquiries,0.8368047475814819,0.8368047475814819,0.6666666666666666,0.7142857142857143,,
