cluster_id,prompt_id,model,generated_label,reference_label,llm_metrics
20,P1,finetuned,Order delivery timeline and arrival date inquiries,Order Delivery Status and Arrival Time Tracking Inquiries,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core theme of tracking delivery/arrival information and is appropriately specific, though it uses slightly different phrasing ('timeline and arrival date') compared to the reference ('delivery status and arrival time tracking'), which are semantically very similar but not identical.""}"
0,P4,finetuned,Customer Service Hours and Availability Inquiry,Customer service hours and availability inquiry,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""The candidate label is identical in meaning to the reference label, differing only in capitalization style, and accurately captures the core theme of all tickets which consistently ask about customer service contact hours and availability.""}"
0,P1,finetuned,Customer Service Hours and Availability Inquiry,Customer Service Hours Availability and Contact Information Inquiries,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core theme of customers inquiring about service hours and availability, is sufficiently specific to distinguish this cluster from other support topics, and conveys nearly identical meaning to the reference label with only minor wording differences.""}"
3,P4,finetuned,Customer service contact information and communication channel requests,Customers unable to find contact information or methods to reach support services,"{""faithfulness"": 4, ""specificity"": 4, ""equivalence"": 3, ""composite"": 3.6666666666666665, ""reasoning"": ""The candidate accurately captures the core issue of customers seeking contact methods, but uses more neutral phrasing ('requests') rather than emphasizing the problem aspect ('unable to find'), which shifts the framing from a customer pain point to a transactional request.""}"
3,P3,finetuned,Customer Service Contact Information and Support Channel Inquiries,Customer Service Contact Information and Support Channel Access,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately reflects the tickets' focus on seeking contact information and ways to reach customer service, is sufficiently specific to distinguish this cluster, and differs minimally from the reference only in word choice ('Inquiries' vs 'Access') which are semantically similar.""}"
20,P5,finetuned,Order delivery timeline and arrival date inquiries,Order delivery status and estimated arrival time inquiry,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core theme of delivery/arrival inquiries across all tickets, is appropriately specific without being overly narrow, and conveys essentially the same meaning as the reference label with minor wording variations ('timeline and arrival date' vs 'delivery status and estimated arrival time').""}"
0,P5,finetuned,Customer Service Hours and Availability Inquiry,Customer Service Hours and Availability Information Request,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 5, ""composite"": 4.666666666666667, ""reasoning"": ""The candidate label accurately captures the core intent of all tickets (inquiring about customer service hours/availability), is sufficiently specific to distinguish this cluster from other support inquiries, and is nearly synonymous with the reference label, using 'Inquiry' instead of 'Information Request' which are semantically equivalent in this context.""}"
20,P4,finetuned,Customer inquiries about tracking and delivery status of orders,Order delivery status tracking and estimated arrival time inquiries,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core theme of tracking order delivery status and arrival times, though it is slightly less detailed than the reference label by omitting 'estimated arrival time' explicitly, making it marginally less specific while remaining appropriately descriptive.""}"
0,P3,finetuned,Customer Service Hours and Availability Information Request,Customer Service Hours and Contact Availability Information,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core theme of inquiries about customer service hours and availability, though adding 'Request' is slightly more verbose than the reference while maintaining equivalent meaning and good specificity for distinguishing this cluster.""}"
7,P4,finetuned,Difficulty locating or accessing assistant contact information and communication channels,Unable to locate or access assistant contact methods or communication channels,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core issue across all tickets (users unable to find how to contact/communicate with an assistant), uses appropriately specific terminology without being overly narrow, and conveys essentially the same meaning as the reference with only minor stylistic differences in phrasing.""}"
