cluster_id,prompt_id,model,fine_tuned,generated_label,cosine_sim_same_prompt,cosine_sim_multi_ref,rougeL_same_prompt,rougeL_multi_ref,bertscore_f1_same_prompt,bertscore_f1_multi_ref
0,P1,claude-haiku-4-5,False,Customer Service Hours Availability and Contact Information Inquiries,1.0,1.0,1.0,1.0,,
0,P2,claude-haiku-4-5,False,Customer service hours inquiry and availability information requests,0.9999999403953552,0.9999999403953552,1.0,1.0,,
0,P3,claude-haiku-4-5,False,Customer Service Hours and Contact Availability Information,1.0,1.0,1.0,1.0,,
0,P4,claude-haiku-4-5,False,Customer service hours and availability inquiry,1.0000001192092896,1.0000001192092896,1.0,1.0,,
0,P5,claude-haiku-4-5,False,Customer Service Hours and Availability Information Request,1.0,1.0,1.0,1.0,,
3,P1,claude-haiku-4-5,False,Difficulty finding customer service contact information and communication channels,1.0000001192092896,1.0000001192092896,1.0,1.0,,
3,P2,claude-haiku-4-5,False,Customers unable to find contact information or communication channels for customer service,1.0,1.0,1.0,1.0,,
3,P3,claude-haiku-4-5,False,Customer Service Contact Information and Support Channel Access,1.0,1.0,1.0,1.0,,
3,P4,claude-haiku-4-5,False,Customers unable to find contact information or methods to reach support services,1.0000001192092896,1.0000001192092896,1.0,1.0,,
3,P5,claude-haiku-4-5,False,Customer service contact information and communication channel requests,1.0,1.0,1.0,1.0,,
7,P1,claude-haiku-4-5,False,Confusion about how to contact or reach a live assistant,0.9999999403953552,0.9999999403953552,1.0,1.0,,
7,P2,claude-haiku-4-5,False,Unable to locate or contact customer support assistant,1.0000001192092896,1.0000001192092896,1.0,1.0,,
7,P3,claude-haiku-4-5,False,How to Contact or Reach an IT Support Assistant,1.0,1.0,1.0,1.0,,
7,P4,claude-haiku-4-5,False,Unable to locate or access assistant contact methods or communication channels,1.0,1.0,1.0,1.0,,
7,P5,claude-haiku-4-5,False,How to connect with or reach a live assistant,0.9999999403953552,0.9999999403953552,1.0,1.0,,
8,P1,claude-haiku-4-5,False,Customer requests to connect with human support representative,1.0000001192092896,1.0000001192092896,1.0,1.0,,
8,P2,claude-haiku-4-5,False,Customer unable to reach live agent or connect with support representative,1.0,1.0,1.0,1.0,,
8,P3,claude-haiku-4-5,False,Unable to Connect with Support Agent or Representative,1.000000238418579,1.000000238418579,1.0,1.0,,
8,P4,claude-haiku-4-5,False,Unable to reach or connect with a human agent or representative,1.0,1.0,1.0,1.0,,
8,P5,claude-haiku-4-5,False,Requests to connect with a live support representative or agent,1.0,1.0,1.0,1.0,,
20,P1,claude-haiku-4-5,False,Order Delivery Status and Arrival Time Tracking Inquiries,1.0,1.0,1.0,1.0,,
20,P2,claude-haiku-4-5,False,Order delivery status and arrival date tracking,1.0000001192092896,1.0000001192092896,1.0,1.0,,
20,P3,claude-haiku-4-5,False,Order and Shipment Status Tracking Inquiry,0.9999999403953552,0.9999999403953552,1.0,1.0,,
20,P4,claude-haiku-4-5,False,Order delivery status tracking and estimated arrival time inquiries,1.0,1.0,1.0,1.0,,
20,P5,claude-haiku-4-5,False,Order delivery status and estimated arrival time inquiry,1.0,1.0,1.0,1.0,,
