cluster_id,prompt_id,fine_tuned,generated_label,reference_label,faithfulness,specificity,equivalence,composite_score,reasoning
20,P1,False,Order Delivery Status and Arrival Time Tracking Inquiries,Order Delivery Status and Arrival Time Tracking Inquiries,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
0,P4,False,Customer service hours and availability inquiry,Customer service hours and availability inquiry,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
0,P1,False,Customer Service Hours Availability and Contact Information Inquiries,Customer Service Hours Availability and Contact Information Inquiries,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
3,P4,False,Customers unable to find contact information or methods to reach support services,Customers unable to find contact information or methods to reach support services,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
3,P3,False,Customer Service Contact Information and Support Channel Access,Customer Service Contact Information and Support Channel Access,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
20,P5,False,Order delivery status and estimated arrival time inquiry,Order delivery status and estimated arrival time inquiry,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
0,P5,False,Customer Service Hours and Availability Information Request,Customer Service Hours and Availability Information Request,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
20,P4,False,Order delivery status tracking and estimated arrival time inquiries,Order delivery status tracking and estimated arrival time inquiries,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
0,P3,False,Customer Service Hours and Contact Availability Information,Customer Service Hours and Contact Availability Information,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
7,P4,False,Unable to locate or access assistant contact methods or communication channels,Unable to locate or access assistant contact methods or communication channels,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
20,P3,False,Order and Shipment Status Tracking Inquiry,Order and Shipment Status Tracking Inquiry,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
7,P5,False,How to connect with or reach a live assistant,How to connect with or reach a live assistant,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
0,P2,False,Customer service hours inquiry and availability information requests,Customer service hours inquiry and availability information requests,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
8,P3,False,Unable to Connect with Support Agent or Representative,Unable to Connect with Support Agent or Representative,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
7,P2,False,Unable to locate or contact customer support assistant,Unable to locate or contact customer support assistant,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
20,P2,False,Order delivery status and arrival date tracking,Order delivery status and arrival date tracking,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
8,P1,False,Customer requests to connect with human support representative,Customer requests to connect with human support representative,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
7,P1,False,Confusion about how to contact or reach a live assistant,Confusion about how to contact or reach a live assistant,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
3,P1,False,Difficulty finding customer service contact information and communication channels,Difficulty finding customer service contact information and communication channels,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
3,P2,False,Customers unable to find contact information or communication channels for customer service,Customers unable to find contact information or communication channels for customer service,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
8,P4,False,Unable to reach or connect with a human agent or representative,Unable to reach or connect with a human agent or representative,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
8,P5,False,Requests to connect with a live support representative or agent,Requests to connect with a live support representative or agent,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
3,P5,False,Customer service contact information and communication channel requests,Customer service contact information and communication channel requests,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
7,P3,False,How to Contact or Reach an IT Support Assistant,How to Contact or Reach an IT Support Assistant,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
8,P2,False,Customer unable to reach live agent or connect with support representative,Customer unable to reach live agent or connect with support representative,5,5,5,5.0,Skipped: teacher label compared to itself (trivially perfect). No API call made.
