cluster_id,prompt_id,fine_tuned,generated_label,reference_label,faithfulness,specificity,equivalence,composite_score,reasoning
20,P1,False,Customer Inquiry about Tracking and Delivery Status of Orders,Order Delivery Status and Arrival Time Tracking Inquiries,5,4,4,4.333333333333333,"The candidate label accurately captures the core theme of tracking order delivery status and arrival times, is specific enough to distinguish this cluster from other support issues, and conveys essentially the same meaning as the reference label with slightly different phrasing."
0,P4,False,Customer Service Hours Inquiry and Contact Information Support Tickets,Customer service hours and availability inquiry,4,2,3,3.0,"The candidate accurately captures the core topic of inquiring about customer service hours (faithful), but becomes too broad by adding 'contact information support tickets' which dilutes focus and makes it less specific than the reference label, reducing equivalence."
0,P1,False,Customer Service Contact Hours Inquiry and Assistance Support,Customer Service Hours Availability and Contact Information Inquiries,4,3,4,3.6666666666666665,"The candidate label accurately captures the core theme of inquiries about customer service contact hours, though it's slightly less comprehensive than the reference (omitting 'availability' concept) and somewhat less specific in distinguishing what information is being sought."
3,P4,False,Customer Service Contact Information and Accessibility Issues,Customers unable to find contact information or methods to reach support services,5,4,4,4.333333333333333,"The candidate label accurately captures the core issue of customers struggling to find ways to contact support, is sufficiently specific to distinguish this cluster, and conveys essentially the same meaning as the reference label though with slightly different phrasing that emphasizes 'accessibility' alongside contact information."
3,P3,False,Customer Service Contact Information and Accessibility Issues,Customer Service Contact Information and Support Channel Access,4,4,3,3.6666666666666665,"The candidate label accurately captures the core issue (difficulty accessing customer service contact information), is appropriately specific, but uses 'Accessibility Issues' rather than 'Support Channel Access' which shifts the framing slightly from channels/methods to a broader accessibility concept, reducing semantic equivalence."
20,P5,False,"Ticket cluster label: ""Order tracking and delivery arrival status inquiries""",Order delivery status and estimated arrival time inquiry,5,4,4,4.333333333333333,"The candidate label accurately captures the core theme of order tracking and delivery inquiries present in all tickets, is appropriately specific to distinguish this cluster from other support issues, and conveys essentially the same meaning as the reference label with only minor wording variations."
0,P5,False,Contacting Customer Service Hours and Availability Support,Customer Service Hours and Availability Information Request,5,4,4,4.333333333333333,"The candidate label accurately captures the core issue (customer service hours/availability inquiries) but phrases it as 'Contacting Customer Service Hours' rather than 'Information Request,' which slightly shifts the emphasis from seeking information to the act of contacting, making it marginally less equivalent to the reference label while remaining highly faithful and appropriately specific."
20,P4,False,Customer Inquiry about Tracking and Estimated Delivery of Purchase or Product,Order delivery status tracking and estimated arrival time inquiries,5,4,4,4.333333333333333,"The candidate label accurately captures the core theme of tracking and delivery inquiries with appropriate specificity, though it uses slightly less formal terminology than the reference label and is marginally more verbose."
0,P3,False,Contacting Customer Service Hours and Availability Support,Customer Service Hours and Contact Availability Information,5,4,4,4.333333333333333,"The candidate label accurately captures the core topic of inquiries about customer service contact hours and availability, with slightly more direct phrasing ('Contacting') that emphasizes the action aspect, though it's marginally less formal than the reference label."
7,P4,False,Customer Difficulty Accessing Live Chat or Voice Assistant Support,Unable to locate or access assistant contact methods or communication channels,3,3,2,2.6666666666666665,"The candidate label correctly identifies the core issue (difficulty accessing assistance), but introduces specificity about 'Live Chat or Voice Assistant' that isn't clearly evidenced in the tickets, while the reference label more accurately captures the broader problem of not knowing how to contact or access any assistant communication channel."
20,P3,False,Customer Order Delivery Tracking and Status Inquiry,Order and Shipment Status Tracking Inquiry,5,4,4,4.333333333333333,"The candidate label accurately captures the core theme of tracking order/shipment status and delivery timing, is appropriately specific for distinguishing this cluster type, and is semantically equivalent to the reference label with only minor wording differences in emphasis (delivery tracking vs. shipment status)."
7,P5,False,Requesting Assistance with Chat or Voice Support Options,How to connect with or reach a live assistant,3,2,2,2.3333333333333335,"The candidate label introduces 'chat or voice support options' which aren't mentioned in the tickets, overcomplicates the simple request to connect with an assistant, and is less direct than the reference label's focus on reaching/connecting with a live assistant."
0,P2,False,Contacting Customer Service Hours Inquiry,Customer service hours inquiry and availability information requests,4,4,3,3.6666666666666665,"The candidate label accurately captures the core theme of inquiries about customer service hours, but is slightly less comprehensive than the reference label which explicitly mentions 'availability information requests' as a broader concept, making the reference label marginally more equivalent in scope."
8,P3,False,Customer Service Phone Support Assistance Requests,Unable to Connect with Support Agent or Representative,2,3,1,2.0,"The candidate label focuses on 'phone support' and 'customer service' which are not evident in the tickets, whereas the tickets clearly express difficulty or inability to connect with a representative/agent, making the candidate label unfaithful to the actual content and minimally equivalent to the reference label."
7,P2,False,Difficulty with initiating or understanding assistant-related interactions,Unable to locate or contact customer support assistant,4,3,2,3.0,"The candidate label accurately captures the core issue (difficulty contacting/interacting with support), but uses more abstract language ('assistant-related interactions') rather than directly addressing the inability to locate or contact support, making it less equivalent to the reference while being somewhat vague about the specific problem."
20,P2,False,Customer Inquiry about Tracking and Delivery Status,Order delivery status and arrival date tracking,5,4,4,4.333333333333333,"The candidate label accurately captures the core intent of all tickets (tracking delivery/arrival information) and is appropriately specific, though it uses slightly more generic phrasing ('Customer Inquiry about') compared to the reference label's more direct terminology."
8,P1,False,Customer Support for Difficulty with Verbal Communication with Representatives,Customer requests to connect with human support representative,2,2,1,1.6666666666666667,"The candidate label misinterprets the tickets as being about difficulty with verbal communication itself, when they are actually about customers requesting to connect with or speak to a support representative; the label is also overly focused on a narrow interpretation unrelated to the core request."
7,P1,False,Customer Difficulty Accessing Live Chat or Phone Support with Assistants,Confusion about how to contact or reach a live assistant,3,4,2,3.0,"The candidate label accurately captures the core issue (difficulty contacting support), is appropriately specific with mention of 'live chat or phone support', but diverges from the reference by being more prescriptive about contact methods rather than focusing on the confusion itself, and uses different terminology ('accessing' vs 'contacting/reaching')."
3,P1,False,Customer Service Contact Information and Accessibility Issues,Difficulty finding customer service contact information and communication channels,5,4,4,4.333333333333333,"The candidate label accurately captures the core issue of customers struggling to locate and access customer service contact methods, though it's slightly more concise and uses 'accessibility' which is marginally broader than the reference's 'communication channels.'"
3,P2,False,Customer Service Contact Information and Accessibility Issues,Customers unable to find contact information or communication channels for customer service,5,4,4,4.333333333333333,"The candidate label accurately captures the core issue of customers seeking ways to contact customer service, is appropriately specific without being overly narrow, and conveys essentially the same meaning as the reference label though with slightly different phrasing that emphasizes 'accessibility' alongside contact information."
8,P4,False,Customer Support for Communication and Conversation Assistance with Representatives,Unable to reach or connect with a human agent or representative,2,2,1,1.6666666666666667,"The candidate label describes general customer support communication assistance, but the tickets specifically indicate customers cannot reach or connect with agents at all—a critical distinction the candidate label misses entirely."
8,P5,False,Requesting Human Support Assistance for Communication Issues,Requests to connect with a live support representative or agent,2,2,1,1.6666666666666667,"The candidate label mischaracterizes the tickets as being about 'communication issues' when they are actually straightforward requests to connect with a live support representative, making it both inaccurate and misleadingly vague about the core intent."
