cluster_id,prompt_id,model,fine_tuned,generated_label,cosine_sim_same_prompt,cosine_sim_multi_ref,rougeL_same_prompt,rougeL_multi_ref,bertscore_f1_same_prompt,bertscore_f1_multi_ref
0,P1,meta-llama/Llama-3.2-3B-Instruct,False,Customer Service Contact Hours Inquiry and Assistance Support,0.9031859636306763,0.9031859636306763,0.5,0.625,,
0,P2,meta-llama/Llama-3.2-3B-Instruct,False,Contacting Customer Service Hours Inquiry,0.8462964296340942,0.8605841994285583,0.6153846153846154,0.7272727272727272,,
0,P3,meta-llama/Llama-3.2-3B-Instruct,False,Contacting Customer Service Hours and Availability Support,0.883766233921051,0.8907930254936218,0.7142857142857143,0.7692307692307692,,
0,P4,meta-llama/Llama-3.2-3B-Instruct,False,Customer Service Hours Inquiry and Contact Information Support Tickets,0.8323694467544556,0.8668349981307983,0.5333333333333333,0.75,,
0,P5,meta-llama/Llama-3.2-3B-Instruct,False,Contacting Customer Service Hours and Availability Support,0.8907930254936218,0.8907930254936218,0.7142857142857143,0.7692307692307692,,
3,P1,meta-llama/Llama-3.2-3B-Instruct,False,Customer Service Contact Information and Accessibility Issues,0.6711227893829346,0.7344239950180054,0.6250000000000001,0.7999999999999999,,
3,P2,meta-llama/Llama-3.2-3B-Instruct,False,Customer Service Contact Information and Accessibility Issues,0.6774935722351074,0.7344239950180054,0.3157894736842105,0.7999999999999999,,
3,P3,meta-llama/Llama-3.2-3B-Instruct,False,Customer Service Contact Information and Accessibility Issues,0.7344239950180054,0.7344239950180054,0.7999999999999999,0.7999999999999999,,
3,P4,meta-llama/Llama-3.2-3B-Instruct,False,Customer Service Contact Information and Accessibility Issues,0.6825951933860779,0.7344239950180054,0.3157894736842105,0.7999999999999999,,
3,P5,meta-llama/Llama-3.2-3B-Instruct,False,Customer Service Contact Information and Accessibility Issues,0.6941870450973511,0.7344239950180054,0.6666666666666666,0.7999999999999999,,
7,P1,meta-llama/Llama-3.2-3B-Instruct,False,Customer Difficulty Accessing Live Chat or Phone Support with Assistants,0.633740246295929,0.633740246295929,0.20000000000000004,0.33333333333333326,,
7,P2,meta-llama/Llama-3.2-3B-Instruct,False,Difficulty with initiating or understanding assistant-related interactions,0.31768375635147095,0.6258727312088013,0.25,0.35294117647058826,,
7,P3,meta-llama/Llama-3.2-3B-Instruct,False,Customer Support for Chat or Voice Assistants,0.5455319285392761,0.5550660490989685,0.25,0.39999999999999997,,
7,P4,meta-llama/Llama-3.2-3B-Instruct,False,Customer Difficulty Accessing Live Chat or Voice Assistant Support,0.5073845386505127,0.6257027387619019,0.19999999999999998,0.23529411764705882,,
7,P5,meta-llama/Llama-3.2-3B-Instruct,False,Requesting Assistance with Chat or Voice Support Options,0.4691263437271118,0.5758581161499023,0.23529411764705882,0.25,,
8,P1,meta-llama/Llama-3.2-3B-Instruct,False,Customer Support for Difficulty with Verbal Communication with Representatives,0.6872837543487549,0.6872837543487549,0.35294117647058826,0.35294117647058826,,
8,P2,meta-llama/Llama-3.2-3B-Instruct,False,Difficulty with Communication with Customer Service Representatives,0.6668336391448975,0.6668336391448975,0.2222222222222222,0.26666666666666666,,
8,P3,meta-llama/Llama-3.2-3B-Instruct,False,Customer Service Phone Support Assistance Requests,0.5400131940841675,0.651772141456604,0.14285714285714288,0.28571428571428575,,
8,P4,meta-llama/Llama-3.2-3B-Instruct,False,Customer Support for Communication and Conversation Assistance with Representatives,0.49463289976119995,0.7823042869567871,0.19999999999999998,0.35294117647058826,,
8,P5,meta-llama/Llama-3.2-3B-Instruct,False,Requesting Human Support Assistance for Communication Issues,0.5823994278907776,0.6668287515640259,0.23529411764705882,0.39999999999999997,,
20,P1,meta-llama/Llama-3.2-3B-Instruct,False,Customer Inquiry about Tracking and Delivery Status of Orders,0.8028578162193298,0.8048302531242371,0.23529411764705882,0.26666666666666666,,
20,P2,meta-llama/Llama-3.2-3B-Instruct,False,Customer Inquiry about Tracking and Delivery Status,0.6881362795829773,0.8151097297668457,0.2857142857142857,0.30769230769230765,,
20,P3,meta-llama/Llama-3.2-3B-Instruct,False,Customer Order Delivery Tracking and Status Inquiry,0.8807739615440369,0.8807739615440369,0.6153846153846153,0.6250000000000001,,
20,P4,meta-llama/Llama-3.2-3B-Instruct,False,Customer Inquiry about Tracking and Estimated Delivery of Purchase or Product,0.7705879807472229,0.7705879807472229,0.3,0.3,,
20,P5,meta-llama/Llama-3.2-3B-Instruct,False,"Ticket cluster label: ""Order tracking and delivery arrival status inquiries""",0.355502188205719,0.4727146625518799,0.4444444444444445,0.5263157894736842,,
