cluster_id,prompt_id,model,generated_label,nonllm_metrics
0,P1,meta-llama/Llama-3.2-3B-Instruct,Customer Service Contact Hours Inquiry and Assistance Support,"{""cosine_sim_same"": 0.9031859636306763, ""cosine_sim_multi"": 0.9031859636306763, ""rouge_l_same"": 0.5, ""rouge_l_multi"": 0.625, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
0,P2,meta-llama/Llama-3.2-3B-Instruct,Contacting Customer Service Hours Inquiry,"{""cosine_sim_same"": 0.8462964296340942, ""cosine_sim_multi"": 0.8605841994285583, ""rouge_l_same"": 0.6153846153846154, ""rouge_l_multi"": 0.7272727272727272, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
0,P3,meta-llama/Llama-3.2-3B-Instruct,Contacting Customer Service Hours and Availability Support,"{""cosine_sim_same"": 0.883766233921051, ""cosine_sim_multi"": 0.8907930254936218, ""rouge_l_same"": 0.7142857142857143, ""rouge_l_multi"": 0.7692307692307692, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
0,P4,meta-llama/Llama-3.2-3B-Instruct,Customer Service Hours Inquiry and Contact Information Support Tickets,"{""cosine_sim_same"": 0.8323694467544556, ""cosine_sim_multi"": 0.8668349981307983, ""rouge_l_same"": 0.5333333333333333, ""rouge_l_multi"": 0.75, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
0,P5,meta-llama/Llama-3.2-3B-Instruct,Contacting Customer Service Hours and Availability Support,"{""cosine_sim_same"": 0.8907930254936218, ""cosine_sim_multi"": 0.8907930254936218, ""rouge_l_same"": 0.7142857142857143, ""rouge_l_multi"": 0.7692307692307692, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
3,P1,meta-llama/Llama-3.2-3B-Instruct,Customer Service Contact Information and Accessibility Issues,"{""cosine_sim_same"": 0.6711227893829346, ""cosine_sim_multi"": 0.7344239950180054, ""rouge_l_same"": 0.6250000000000001, ""rouge_l_multi"": 0.7999999999999999, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
3,P2,meta-llama/Llama-3.2-3B-Instruct,Customer Service Contact Information and Accessibility Issues,"{""cosine_sim_same"": 0.6774935722351074, ""cosine_sim_multi"": 0.7344239950180054, ""rouge_l_same"": 0.3157894736842105, ""rouge_l_multi"": 0.7999999999999999, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
3,P3,meta-llama/Llama-3.2-3B-Instruct,Customer Service Contact Information and Accessibility Issues,"{""cosine_sim_same"": 0.7344239950180054, ""cosine_sim_multi"": 0.7344239950180054, ""rouge_l_same"": 0.7999999999999999, ""rouge_l_multi"": 0.7999999999999999, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
3,P4,meta-llama/Llama-3.2-3B-Instruct,Customer Service Contact Information and Accessibility Issues,"{""cosine_sim_same"": 0.6825951933860779, ""cosine_sim_multi"": 0.7344239950180054, ""rouge_l_same"": 0.3157894736842105, ""rouge_l_multi"": 0.7999999999999999, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
3,P5,meta-llama/Llama-3.2-3B-Instruct,Customer Service Contact Information and Accessibility Issues,"{""cosine_sim_same"": 0.6941870450973511, ""cosine_sim_multi"": 0.7344239950180054, ""rouge_l_same"": 0.6666666666666666, ""rouge_l_multi"": 0.7999999999999999, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
7,P1,meta-llama/Llama-3.2-3B-Instruct,Customer Difficulty Accessing Live Chat or Phone Support with Assistants,"{""cosine_sim_same"": 0.633740246295929, ""cosine_sim_multi"": 0.633740246295929, ""rouge_l_same"": 0.20000000000000004, ""rouge_l_multi"": 0.33333333333333326, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
7,P2,meta-llama/Llama-3.2-3B-Instruct,Difficulty with initiating or understanding assistant-related interactions,"{""cosine_sim_same"": 0.31768375635147095, ""cosine_sim_multi"": 0.6258727312088013, ""rouge_l_same"": 0.25, ""rouge_l_multi"": 0.35294117647058826, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
