cluster_id,prompt_id,model,generated_label,reference_label,llm_metrics
20,P1,baseline,Customer Inquiry about Tracking and Delivery Status of Orders,Order Delivery Status and Arrival Time Tracking Inquiries,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core theme of tracking order delivery status and arrival times, is specific enough to distinguish this cluster from other support issues, and conveys essentially the same meaning as the reference label with slightly different phrasing.""}"
0,P4,baseline,Customer Service Hours Inquiry and Contact Information Support Tickets,Customer service hours and availability inquiry,"{""faithfulness"": 4, ""specificity"": 2, ""equivalence"": 3, ""composite"": 3.0, ""reasoning"": ""The candidate accurately captures the core topic of inquiring about customer service hours (faithful), but becomes too broad by adding 'contact information support tickets' which dilutes focus and makes it less specific than the reference label, reducing equivalence.""}"
0,P1,baseline,Customer Service Contact Hours Inquiry and Assistance Support,Customer Service Hours Availability and Contact Information Inquiries,"{""faithfulness"": 4, ""specificity"": 3, ""equivalence"": 4, ""composite"": 3.6666666666666665, ""reasoning"": ""The candidate label accurately captures the core theme of inquiries about customer service contact hours, though it's slightly less comprehensive than the reference (omitting 'availability' concept) and somewhat less specific in distinguishing what information is being sought.""}"
3,P4,baseline,Customer Service Contact Information and Accessibility Issues,Customers unable to find contact information or methods to reach support services,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core issue of customers struggling to find ways to contact support, is sufficiently specific to distinguish this cluster, and conveys essentially the same meaning as the reference label though with slightly different phrasing that emphasizes 'accessibility' alongside contact information.""}"
3,P3,baseline,Customer Service Contact Information and Accessibility Issues,Customer Service Contact Information and Support Channel Access,"{""faithfulness"": 4, ""specificity"": 4, ""equivalence"": 3, ""composite"": 3.6666666666666665, ""reasoning"": ""The candidate label accurately captures the core issue (difficulty accessing customer service contact information), is appropriately specific, but uses 'Accessibility Issues' rather than 'Support Channel Access' which shifts the framing slightly from channels/methods to a broader accessibility concept, reducing semantic equivalence.""}"
20,P5,baseline,"Ticket cluster label: ""Order tracking and delivery arrival status inquiries""",Order delivery status and estimated arrival time inquiry,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core theme of order tracking and delivery inquiries present in all tickets, is appropriately specific to distinguish this cluster from other support issues, and conveys essentially the same meaning as the reference label with only minor wording variations.""}"
0,P5,baseline,Contacting Customer Service Hours and Availability Support,Customer Service Hours and Availability Information Request,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core issue (customer service hours/availability inquiries) but phrases it as 'Contacting Customer Service Hours' rather than 'Information Request,' which slightly shifts the emphasis from seeking information to the act of contacting, making it marginally less equivalent to the reference label while remaining highly faithful and appropriately specific.""}"
20,P4,baseline,Customer Inquiry about Tracking and Estimated Delivery of Purchase or Product,Order delivery status tracking and estimated arrival time inquiries,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core theme of tracking and delivery inquiries with appropriate specificity, though it uses slightly less formal terminology than the reference label and is marginally more verbose.""}"
0,P3,baseline,Contacting Customer Service Hours and Availability Support,Customer Service Hours and Contact Availability Information,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core topic of inquiries about customer service contact hours and availability, with slightly more direct phrasing ('Contacting') that emphasizes the action aspect, though it's marginally less formal than the reference label.""}"
7,P4,baseline,Customer Difficulty Accessing Live Chat or Voice Assistant Support,Unable to locate or access assistant contact methods or communication channels,"{""faithfulness"": 3, ""specificity"": 3, ""equivalence"": 2, ""composite"": 2.6666666666666665, ""reasoning"": ""The candidate label correctly identifies the core issue (difficulty accessing assistance), but introduces specificity about 'Live Chat or Voice Assistant' that isn't clearly evidenced in the tickets, while the reference label more accurately captures the broader problem of not knowing how to contact or access any assistant communication channel.""}"
